omega = 0.5      n = 200      eigen value = 2.22992
rho              eigvec
0.0497512          -0.0058401
0.0995025          -0.0119385
0.149254          -0.0182681
0.199005          -0.0248001
0.248756          -0.0315042
0.298507          -0.0383492
0.348259          -0.0453026
0.39801          -0.0523313
0.447761          -0.0594017
0.497512            -0.06648
0.547264          -0.0735323
0.597015           -0.080525
0.646766          -0.0874248
0.696517          -0.0941992
0.746269           -0.100817
0.79602           -0.107247
0.845771           -0.113461
0.895522           -0.119431
0.945274           -0.125131
0.995025           -0.130537
1.04478           -0.135627
1.09453           -0.140382
1.14428           -0.144784
1.19403           -0.148816
1.24378           -0.152468
1.29353           -0.155727
1.34328           -0.158585
1.39303           -0.161038
1.44279           -0.163081
1.49254           -0.164714
1.54229           -0.165939
1.59204           -0.166757
1.64179           -0.167177
1.69154           -0.167204
1.74129           -0.166849
1.79104           -0.166124
1.8408           -0.165041
1.89055           -0.163615
1.9403           -0.161862
1.99005           -0.159799
2.0398           -0.157444
2.08955           -0.154817
2.1393           -0.151937
2.18905           -0.148825
2.23881             -0.1455
2.28856           -0.141985
2.33831             -0.1383
2.38806           -0.134466
2.43781           -0.130503
2.48756           -0.126433
2.53731           -0.122274
2.58706           -0.118048
2.63682           -0.113771
2.68657           -0.109463
2.73632            -0.10514
2.78607           -0.100819
2.83582           -0.096516
2.88557          -0.0922445
2.93532          -0.0880182
2.98507          -0.0838496
3.03483            -0.07975
3.08458          -0.0757298
3.13433          -0.0717983
3.18408          -0.0679637
3.23383          -0.0642331
3.28358          -0.0606128
3.33333          -0.0571081
3.38308          -0.0537232
3.43284          -0.0504616
3.48259          -0.0473258
3.53234          -0.0443177
3.58209          -0.0414381
3.63184          -0.0386875
3.68159          -0.0360655
3.73134          -0.0335711
3.78109           -0.031203
3.83085          -0.0289591
3.8806           -0.026837
3.93035          -0.0248341
3.9801           -0.022947
4.02985          -0.0211726
4.0796           -0.019507
4.12935          -0.0179465
4.1791          -0.0164871
4.22886          -0.0151246
4.27861          -0.0138549
4.32836          -0.0126736
4.37811          -0.0115766
4.42786          -0.0105595
4.47761          -0.0096182
4.52736         -0.00874842
4.57711         -0.00794609
4.62687         -0.00720722
4.67662         -0.00652789
4.72637         -0.00590433
4.77612          -0.0053329
4.82587         -0.00481006
4.87562         -0.00433247
4.92537         -0.00389689
4.97512         -0.00350026
5.02488         -0.00313966
5.07463         -0.00281233
5.12438         -0.00251567
5.17413         -0.00224722
5.22388         -0.00200466
5.27363         -0.00178585
5.32338         -0.00158874
5.37313         -0.00141147
5.42289         -0.00125227
5.47264         -0.00110952
5.52239        -0.000981708
5.57214        -0.000867445
5.62189        -0.000765446
5.67164        -0.000674529
5.72139         -0.00059361
5.77114        -0.000521696
5.8209        -0.000457877
5.87065        -0.000401327
5.9204        -0.000351289
5.97015        -0.000307078
6.0199        -0.000268073
6.06965         -0.00023371
6.1194         -0.00020348
6.16915        -0.000176924
6.21891        -0.000153629
6.26866        -0.000133225
6.31841        -0.000115377
6.36816        -9.97871e-05
6.41791        -8.61897e-05
6.46766        -7.43467e-05
6.51741        -6.40463e-05
6.56716           -5.51e-05
6.61692        -4.73409e-05
6.66667        -4.06208e-05
6.71642        -3.48088e-05
6.76617        -2.97891e-05
6.81592        -2.54598e-05
6.86567        -2.17311e-05
6.91542        -1.85241e-05
6.96517        -1.57697e-05
7.01493        -1.34073e-05
7.06468        -1.13839e-05
7.11443        -9.65322e-06
7.16418        -8.17496e-06
7.21393        -6.91403e-06
7.26368        -5.83997e-06
7.31343        -4.92633e-06
7.36318        -4.15021e-06
7.41294        -3.49181e-06
7.46269        -2.93405e-06
7.51244        -2.46217e-06
7.56219         -2.0635e-06
7.61194        -1.72714e-06
7.66169        -1.44373e-06
7.71144        -1.20527e-06
7.76119        -1.00489e-06
7.81095        -8.36734e-07
7.8607        -6.95819e-07
7.91045        -5.77887e-07
7.9602        -4.79323e-07
8.00995        -3.97057e-07
8.0597        -3.28486e-07
8.10945        -2.71406e-07
8.1592        -2.23956e-07
8.20896        -1.84564e-07
8.25871        -1.51905e-07
8.30846        -1.24864e-07
8.35821        -1.02504e-07
8.40796        -8.40406e-08
8.45771        -6.88143e-08
8.50746        -5.62743e-08
8.55721        -4.59603e-08
8.60697        -3.74886e-08
8.65672        -3.05392e-08
8.70647        -2.48461e-08
8.75622        -2.01884e-08
8.80597        -1.63829e-08
8.85572        -1.32776e-08
8.90547         -1.0747e-08
8.95522        -8.68759e-09
9.00498        -7.01372e-09
9.05473        -5.65499e-09
9.10448         -4.5535e-09
9.15423        -3.66168e-09
9.20398        -2.94051e-09
9.25373        -2.35805e-09
9.30348        -1.88815e-09
9.35323        -1.50947e-09
9.40299        -1.20456e-09
9.45274        -9.59227e-10
9.50249        -7.61887e-10
9.55224        -6.03112e-10
9.60199        -4.75217e-10
9.65174        -3.71933e-10
9.70149        -2.88133e-10
9.75124        -2.19596e-10
9.801        -1.62824e-10
9.85075        -1.14872e-10
9.9005        -7.32137e-11
9.95025        -3.56099e-11
