omega = 5.0      n = 200      eigen value = 17.4284
rho              eigvec
0.0497512          -0.0477187
0.0995025          -0.0957602
0.149254           -0.142112
0.199005           -0.184885
0.248756           -0.222435
0.298507           -0.253455
0.348259           -0.277041
0.39801           -0.292723
0.447761           -0.300468
0.497512           -0.300639
0.547264           -0.293942
0.597015           -0.281341
0.646766           -0.263976
0.696517           -0.243066
0.746269           -0.219831
0.79602           -0.195418
0.845771           -0.170845
0.895522           -0.146964
0.945274           -0.124442
0.995025           -0.103759
1.04478          -0.0852147
1.09453          -0.0689521
1.14428          -0.0549825
1.19403          -0.0432148
1.24378          -0.0334849
1.29353          -0.0255826
1.34328          -0.0192745
1.39303          -0.0143225
1.44279           -0.010498
1.49254         -0.00759083
1.54229          -0.0054152
1.59204         -0.00381172
1.64179         -0.00264756
1.69154         -0.00181478
1.74129         -0.00122769
1.79104        -0.000819723
1.8408        -0.000540247
1.89055        -0.000351471
1.9403        -0.000225728
1.99005        -0.000143121
2.0398         -8.9592e-05
2.08955        -5.53737e-05
2.1393        -3.37932e-05
2.18905        -2.03641e-05
2.23881        -1.21181e-05
2.28856        -7.12124e-06
2.33831        -4.13283e-06
2.38806         -2.3688e-06
2.43781        -1.34096e-06
2.48756        -7.49773e-07
2.53731        -4.14082e-07
2.58706        -2.25892e-07
2.63682        -1.21729e-07
2.68657        -6.48003e-08
2.73632        -3.40776e-08
2.78607        -1.77046e-08
2.83582         -9.0875e-09
2.88557        -4.60848e-09
2.93532         -2.3091e-09
2.98507        -1.14318e-09
3.03483        -5.59225e-10
3.08458        -2.70318e-10
3.13433        -1.29121e-10
3.18408        -6.09485e-11
3.23383        -2.84309e-11
3.28358        -1.31067e-11
3.33333        -5.97155e-12
3.38308        -2.68896e-12
3.43284        -1.19674e-12
3.48259        -5.26442e-13
3.53234        -2.28901e-13
3.58209          -9.838e-14
3.63184        -4.17967e-14
3.68159        -1.75536e-14
3.73134         -7.2878e-15
3.78109        -2.99119e-15
3.83085        -1.21374e-15
3.8806        -4.86915e-16
3.93035        -1.93126e-16
3.9801        -7.57363e-17
4.02985        -2.93668e-17
4.0796        -1.12593e-17
4.12935        -4.26857e-18
4.1791        -1.60025e-18
4.22886        -5.93236e-19
4.27861        -2.17479e-19
4.32836        -7.88537e-20
4.37811        -2.82609e-20
4.42786        -1.00161e-20
4.47761        -3.52629e-21
4.52736        -1.22608e-21
4.57711        -4.37764e-22
4.62687        -1.60856e-22
4.67662        -4.61543e-23
4.72637        -3.14173e-24
4.77612        -2.73889e-24
4.82587         1.66912e-23
4.87562          2.1089e-24
4.92537        -2.94114e-24
4.97512         7.19102e-24
5.02488                   0
5.07463                   0
5.12438                   0
5.17413                   0
5.22388                   0
5.27363                   0
5.32338                   0
5.37313                   0
5.42289                   0
5.47264                   0
5.52239                   0
5.57214                   0
5.62189                   0
5.67164                   0
5.72139                   0
5.77114                   0
5.8209                   0
5.87065                   0
5.9204                   0
5.97015                   0
6.0199                   0
6.06965                   0
6.1194                   0
6.16915                   0
6.21891                   0
6.26866                   0
6.31841                   0
6.36816                   0
6.41791                   0
6.46766                   0
6.51741                   0
6.56716                   0
6.61692                   0
6.66667                   0
6.71642                   0
6.76617                   0
6.81592                   0
6.86567                   0
6.91542                   0
6.96517                   0
7.01493                   0
7.06468                   0
7.11443                   0
7.16418                   0
7.21393                   0
7.26368                   0
7.31343                   0
7.36318                   0
7.41294                   0
7.46269                   0
7.51244                   0
7.56219                   0
7.61194                   0
7.66169                   0
7.71144                   0
7.76119                   0
7.81095                   0
7.8607                   0
7.91045                   0
7.9602                   0
8.00995                   0
8.0597                   0
8.10945                   0
8.1592                   0
8.20896                   0
8.25871                   0
8.30846                   0
8.35821                   0
8.40796                   0
8.45771                   0
8.50746                   0
8.55721                   0
8.60697                   0
8.65672                   0
8.70647                   0
8.75622                   0
8.80597                   0
8.85572                   0
8.90547                   0
8.95522                   0
9.00498                   0
9.05473                   0
9.10448                   0
9.15423                   0
9.20398                   0
9.25373                   0
9.30348                   0
9.35323                   0
9.40299                   0
9.45274                   0
9.50249                   0
9.55224                   0
9.60199                   0
9.65174                   0
9.70149                   0
9.75124                   0
9.801                   0
9.85075                   0
9.9005                   0
9.95025                   0
