omega = 0.01      n = 200      eigen value = 0.311634
rho              eigvec
0.0497512         0.000368555
0.0995025         0.000755162
0.149254          0.00115997
0.199005          0.00158312
0.248756          0.00202474
0.298507          0.00248495
0.348259          0.00296384
0.39801          0.00346152
0.447761          0.00397805
0.497512           0.0045135
0.547264          0.00506792
0.597015          0.00564136
0.646766          0.00623384
0.696517          0.00684536
0.746269          0.00747593
0.79602          0.00812554
0.845771          0.00879414
0.895522          0.00948169
0.945274           0.0101881
0.995025           0.0109134
1.04478           0.0116574
1.09453           0.0124201
1.14428           0.0132012
1.19403           0.0140007
1.24378           0.0148185
1.29353           0.0156543
1.34328            0.016508
1.39303           0.0173794
1.44279           0.0182683
1.49254           0.0191744
1.54229           0.0200975
1.59204           0.0210375
1.64179           0.0219939
1.69154           0.0229665
1.74129            0.023955
1.79104           0.0249591
1.8408           0.0259785
1.89055           0.0270128
1.9403           0.0280617
1.99005           0.0291247
2.0398           0.0302015
2.08955           0.0312917
2.1393           0.0323948
2.18905           0.0335105
2.23881           0.0346383
2.28856           0.0357777
2.33831           0.0369282
2.38806           0.0380894
2.43781           0.0392608
2.48756           0.0404417
2.53731           0.0416318
2.58706           0.0428305
2.63682           0.0440371
2.68657           0.0452513
2.73632           0.0464722
2.78607           0.0476995
2.83582           0.0489324
2.88557           0.0501704
2.93532           0.0514128
2.98507           0.0526591
3.03483           0.0539085
3.08458           0.0551604
3.13433           0.0564141
3.18408           0.0576691
3.23383           0.0589245
3.28358           0.0601797
3.33333            0.061434
3.38308           0.0626867
3.43284           0.0639372
3.48259           0.0651845
3.53234           0.0664282
3.58209           0.0676673
3.63184           0.0689012
3.68159           0.0701292
3.73134           0.0713504
3.78109           0.0725642
3.83085           0.0737698
3.8806           0.0749664
3.93035           0.0761532
3.9801           0.0773296
4.02985           0.0784947
4.0796           0.0796478
4.12935           0.0807881
4.1791           0.0819149
4.22886           0.0830274
4.27861           0.0841247
4.32836           0.0852063
4.37811           0.0862712
4.42786           0.0873188
4.47761           0.0883482
4.52736           0.0893588
4.57711           0.0903497
4.62687           0.0913203
4.67662           0.0922698
4.72637           0.0931975
4.77612           0.0941026
4.82587           0.0949844
4.87562           0.0958421
4.92537           0.0966752
4.97512           0.0974829
5.02488           0.0982645
5.07463           0.0990193
5.12438           0.0997467
5.17413            0.100446
5.22388            0.101116
5.27363            0.101757
5.32338            0.102369
5.37313            0.102949
5.42289            0.103498
5.47264            0.104015
5.52239              0.1045
5.57214            0.104952
5.62189            0.105371
5.67164            0.105755
5.72139            0.106105
5.77114            0.106419
5.8209            0.106698
5.87065            0.106942
5.9204            0.107148
5.97015            0.107318
6.0199             0.10745
6.06965            0.107545
6.1194            0.107601
6.16915            0.107619
6.21891            0.107598
6.26866            0.107538
6.31841            0.107439
6.36816              0.1073
6.41791            0.107121
6.46766            0.106901
6.51741            0.106641
6.56716            0.106341
6.61692               0.106
6.66667            0.105618
6.71642            0.105194
6.76617             0.10473
6.81592            0.104224
6.86567            0.103677
6.91542            0.103088
6.96517            0.102458
7.01493            0.101787
7.06468            0.101074
7.11443             0.10032
7.16418           0.0995253
7.21393           0.0986889
7.26368           0.0978117
7.31343           0.0968935
7.36318           0.0959347
7.41294           0.0949354
7.46269           0.0938959
7.51244           0.0928165
7.56219           0.0916972
7.61194           0.0905386
7.66169           0.0893409
7.71144           0.0881044
7.76119           0.0868296
7.81095           0.0855167
7.8607           0.0841663
7.91045           0.0827787
7.9602           0.0813545
8.00995           0.0798941
8.0597            0.078398
8.10945           0.0768668
8.1592            0.075301
8.20896           0.0737012
8.25871           0.0720681
8.30846           0.0704021
8.35821            0.068704
8.40796           0.0669745
8.45771           0.0652141
8.50746           0.0634238
8.55721            0.061604
8.60697           0.0597557
8.65672           0.0578796
8.70647           0.0559765
8.75622           0.0540471
8.80597           0.0520924
8.85572           0.0501131
8.90547           0.0481102
8.95522           0.0460844
9.00498           0.0440368
9.05473           0.0419682
9.10448           0.0398795
9.15423           0.0377718
9.20398           0.0356458
9.25373           0.0335028
9.30348           0.0313435
9.35323           0.0291691
9.40299           0.0269806
9.45274           0.0247789
9.50249           0.0225652
9.55224           0.0203404
9.60199           0.0181057
9.65174            0.015862
9.70149           0.0136106
9.75124           0.0113525
9.801          0.00908875
9.85075          0.00682051
9.9005          0.00454889
9.95025          0.00227501
