omega = 1      n = 200      eigen value = 4.05707
rho              eigvec
0.0497512          -0.0115371
0.0995025          -0.0235323
0.149254          -0.0358772
0.199005          -0.0484588
0.248756          -0.0611613
0.298507          -0.0738675
0.348259          -0.0864607
0.39801          -0.0988261
0.447761           -0.110852
0.497512           -0.122433
0.547264           -0.133469
0.597015           -0.143867
0.646766           -0.153544
0.696517           -0.162425
0.746269           -0.170447
0.79602           -0.177559
0.845771           -0.183717
0.895522           -0.188894
0.945274           -0.193071
0.995025           -0.196242
1.04478           -0.198411
1.09453           -0.199593
1.14428           -0.199815
1.19403            -0.19911
1.24378           -0.197521
1.29353           -0.195098
1.34328           -0.191897
1.39303           -0.187979
1.44279           -0.183411
1.49254           -0.178261
1.54229           -0.172599
1.59204           -0.166497
1.64179           -0.160026
1.69154           -0.153257
1.74129            -0.14626
1.79104           -0.139098
1.8408           -0.131837
1.89055           -0.124535
1.9403           -0.117247
1.99005           -0.110024
2.0398           -0.102911
2.08955          -0.0959498
2.1393          -0.0891755
2.18905           -0.082619
2.23881          -0.0763062
2.28856          -0.0702582
2.33831          -0.0644915
2.38806          -0.0590182
2.43781          -0.0538465
2.48756          -0.0489808
2.53731          -0.0444222
2.58706          -0.0401687
2.63682          -0.0362157
2.68657          -0.0325563
2.73632          -0.0291815
2.78607           -0.026081
2.83582          -0.0232428
2.88557          -0.0206541
2.93532          -0.0183014
2.98507          -0.0161707
3.03483          -0.0142476
3.08458          -0.0125179
3.13433          -0.0109673
3.18408         -0.00958194
3.23383         -0.00834826
3.28358         -0.00725323
3.33333         -0.00628439
3.38308         -0.00542995
3.43284         -0.00467878
3.48259         -0.00402047
3.53234         -0.00344534
3.58209         -0.00294444
3.63184         -0.00250951
3.68159         -0.00213302
3.73134         -0.00180812
3.78109         -0.00152856
3.83085         -0.00128874
3.8806         -0.00108363
3.93035        -0.000908724
3.9801        -0.000760007
4.02985         -0.00063393
4.0796        -0.000527358
4.12935        -0.000437535
4.1791        -0.000362047
4.22886        -0.000298788
4.27861         -0.00024593
4.32836        -0.000201888
4.37811        -0.000165296
4.42786        -0.000134979
4.47761        -0.000109933
4.52736        -8.92995e-05
4.57711        -7.23484e-05
4.62687        -5.84614e-05
4.67662        -4.71165e-05
4.72637         -3.7874e-05
4.77612        -3.03651e-05
4.82587        -2.42815e-05
4.87562        -1.93663e-05
4.92537        -1.54059e-05
4.97512        -1.22235e-05
5.02488        -9.67344e-06
5.07463        -7.63553e-06
5.12438        -6.01135e-06
5.17413        -4.72043e-06
5.22388        -3.69717e-06
5.27363        -2.88825e-06
5.32338        -2.25051e-06
5.37313        -1.74908e-06
5.42289        -1.35587e-06
5.47264        -1.04836e-06
5.52239        -8.08516e-07
5.57214        -6.21944e-07
5.62189          -4.772e-07
5.67164        -3.65205e-07
5.72139        -2.78779e-07
5.77114        -2.12263e-07
5.8209        -1.61205e-07
5.87065        -1.22116e-07
5.9204        -9.22701e-08
5.97015         -6.9541e-08
6.0199        -5.22775e-08
6.06965        -3.91998e-08
6.1194        -2.93189e-08
6.16915         -2.1873e-08
6.21891        -1.62767e-08
6.26866        -1.20815e-08
6.31841        -8.94489e-09
6.36816        -6.60585e-09
6.41791        -4.86611e-09
6.46766         -3.5755e-09
6.51741        -2.62056e-09
6.56716        -1.91581e-09
6.61692        -1.39706e-09
6.66667        -1.01621e-09
6.71642        -7.37314e-10
6.76617        -5.33616e-10
6.81592        -3.85222e-10
6.86567        -2.77396e-10
6.91542        -1.99249e-10
6.96517        -1.42758e-10
7.01493        -1.02027e-10
7.06468        -7.27338e-11
7.11443        -5.17212e-11
7.16418         -3.6687e-11
7.21393        -2.59577e-11
7.26368        -1.83203e-11
7.31343        -1.28977e-11
7.36318        -9.05738e-12
7.41294        -6.34466e-12
7.46269        -4.43331e-12
7.51244        -3.09003e-12
7.56219        -2.14839e-12
7.61194        -1.48997e-12
7.66169        -1.03077e-12
7.71144        -7.11312e-13
7.76119        -4.89641e-13
7.81095        -3.36212e-13
7.8607        -2.30286e-13
7.91045        -1.57341e-13
7.9602        -1.07235e-13
8.00995        -7.29039e-14
8.0597        -4.94409e-14
8.10945        -3.34459e-14
8.1592        -2.25695e-14
8.20896        -1.51923e-14
8.25871        -1.02012e-14
8.30846        -6.83279e-15
8.35821        -4.56532e-15
8.40796        -3.04277e-15
8.45771        -2.02298e-15
8.50746        -1.34165e-15
8.55721        -8.87594e-16
8.60697        -5.85754e-16
8.65672        -3.85606e-16
8.70647        -2.53221e-16
8.75622        -1.65877e-16
8.80597        -1.08393e-16
8.85572        -7.06558e-17
8.90547        -4.59441e-17
8.95522        -2.98014e-17
9.00498         -1.9283e-17
9.05473        -1.24466e-17
9.10448         -8.0143e-18
9.15423        -5.14758e-18
9.20398         -3.2984e-18
9.25373        -2.10826e-18
9.30348        -1.34412e-18
9.35323        -8.54605e-19
9.40299        -5.42142e-19
9.45274        -3.42935e-19
9.50249        -2.16565e-19
9.55224        -1.35786e-19
9.60199        -8.52662e-20
9.65174        -5.28557e-20
9.70149        -3.29335e-20
9.75124        -2.03027e-20
9.801        -1.23314e-20
9.85075        -7.05135e-21
9.9005        -4.02433e-21
9.95025        -1.72772e-21
